层级,指标,本周,上周,2周前,3周前,4周前,5周前,wow,wow%
1.1.阿鲁巴,阿鲁巴 新增次留,0.666667,0.5,0.142857,0.0,0.0,0.333333,0.166667,33.333333
1.1.韩国,韩国 新增次留,0.0,0.090909,0.142857,0.0,0.153846,0.076923,-0.090909,-100.0
1.1.马尔代夫,马尔代夫 新增次留,,0.333333,0.5,1.0,0.0,0.5,,
1.1.马恩岛,马恩岛 新增次留,,0.0,,,0.0,0.0,,
1.1.马拉维,马拉维 新增次留,,0.333333,0.5,0.5,0.0,,,
1.1.马提尼克岛,马提尼克岛 新增次留,,,,0.0,,0.0,,
1.1.马来西亚,马来西亚 新增次留,0.090909,0.117647,0.153846,0.083333,0.173913,0.076923,-0.026738,-22.727273
1.1.马约特,马约特 新增次留,,,,,,,,
1.1.马绍尔群岛,马绍尔群岛 新增次留,,,,,,,,
1.1.马耳他,马耳他 新增次留,0.111111,0.0,0.2,0.272727,0.25,0.166667,0.111111,
1.1.马达加斯加,马达加斯加 新增次留,0.0,0.0,0.0,0.0,0.0,,0.0,
1.1.马里,马里 新增次留,0.2,0.0,0.071429,0.333333,,0.0,0.2,
1.1.黎巴嫩,黎巴嫩 新增次留,0.0,0.166667,0.125,0.076923,0.5,0.25,-0.166667,-100.0
1.1.黑山,黑山 新增次留,0.0,0.333333,0.333333,0.4,0.333333,0.0,-0.333333,-100.0
1.2,自然 新增次留,0.162153,0.166525,0.168695,0.161145,0.164972,0.166212,-0.004373,-2.625773
1.2.unknow,unknow 新增次留,0.111111,0.0,0.0,0.071429,0.0625,0.0,0.111111,
1.2.不丹,不丹 新增次留,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2.东帝汶,东帝汶 新增次留,,0.0,0.0,0.5,0.0,0.0,,
1.2.中国,中国 新增次留,0.145336,0.155789,0.128266,0.138958,0.154639,0.143631,-0.010453,-6.709855
1.2.中国台湾,中国台湾 新增次留,0.122222,0.123077,0.12,0.106061,0.179104,0.181818,-0.000855,-0.694444
1.2.中国澳门,中国澳门 新增次留,0.666667,0.0,0.0,0.166667,0.166667,0.0,0.666667,
1.2.中国香港,中国香港 新增次留,0.198903,0.214106,0.2225,0.230769,0.227891,0.218121,-0.015203,-7.100783
1.2.中非,中非 新增次留,0.0,0.125,0.5,0.0,0.333333,0.0,-0.125,-100.0
1.2.丹麦,丹麦 新增次留,0.162712,0.13806,0.131488,0.156069,0.130137,0.128889,0.024652,17.856161
1.2.乌克兰,乌克兰 新增次留,0.187764,0.1757,0.184575,0.180801,0.189245,0.202407,0.012064,6.866031
1.2.乌兹别克斯坦,乌兹别克斯坦 新增次留,0.147826,0.21875,0.18677,0.172973,0.161446,0.147186,-0.070924,-32.42236
1.2.乌干达,乌干达 新增次留,0.210526,0.25641,0.219512,0.267442,0.282609,0.192593,-0.045884,-17.894737
1.2.乌拉圭,乌拉圭 新增次留,0.25,0.105882,0.076923,0.183333,0.140625,0.076923,0.144118,136.111111
1.2.乍得,乍得 新增次留,0.333333,0.0,0.285714,0.157895,0.176471,0.12,0.333333,
1.2.也门,也门 新增次留,0.129032,0.181818,0.142857,0.172414,0.1875,0.149254,-0.052786,-29.032258
1.2.亚美尼亚,亚美尼亚 新增次留,0.198413,0.184679,0.203438,0.154982,0.176707,0.175115,0.013734,7.436802
1.2.以色列,以色列 新增次留,0.164894,0.150388,0.152661,0.151061,0.181495,0.139905,0.014506,9.645756
1.2.伊拉克,伊拉克 新增次留,0.131579,0.144712,0.132576,0.126095,0.138955,0.086142,-0.013133,-9.075574
1.2.伊朗,伊朗 新增次留,0.15342,0.158554,0.158042,0.158094,0.149238,0.106509,-0.005134,-3.237993
1.2.伯利兹,伯利兹 新增次留,0.090909,0.25,0.222222,0.166667,0.227273,0.2,-0.159091,-63.636364
1.2.佛得角,佛得角 新增次留,0.071429,0.133333,0.157895,0.0,0.266667,0.315789,-0.061905,-46.428571
1.2.俄罗斯,俄罗斯 新增次留,0.181272,0.187073,0.198983,0.179054,0.179884,0.162065,-0.005801,-3.101019
1.2.保加利亚,保加利亚 新增次留,0.167464,0.174447,0.174242,0.154158,0.143954,0.132353,-0.006983,-4.002965
1.2.克罗地亚,克罗地亚 新增次留,0.128603,0.161383,0.146277,0.18705,0.156425,0.159509,-0.03278,-20.312005
1.2.关岛,关岛 新增次留,0.0,0.3,0.0,0.058824,0.181818,0.4,-0.3,-100.0
1.2.冈比亚,冈比亚 新增次留,0.266667,0.253623,0.202381,0.273846,0.246944,0.27551,0.013043,5.142857
1.2.冰岛,冰岛 新增次留,0.32,0.1,0.259259,0.150943,0.185185,0.05,0.22,220.0
1.2.几内亚,几内亚 新增次留,0.184211,0.197802,0.151316,0.228571,0.156863,0.172414,-0.013592,-6.871345
1.2.几内亚比绍,几内亚比绍 新增次留,0.230769,0.1,0.75,0.25,0.166667,0.333333,0.130769,130.769231
1.2.列支敦士登,列支敦士登 新增次留,,0.0,0.0,0.0,0.0,0.0,,
1.2.刚果共和国,刚果共和国 新增次留,0.189189,0.16,0.192771,0.184211,0.09434,0.12,0.029189,18.243243
1.2.刚果民主共和国,刚果民主共和国 新增次留,0.133333,0.235955,0.25,0.189189,0.246377,0.1875,-0.102622,-43.492063
1.2.利比亚,利比亚 新增次留,0.102941,0.22807,0.254237,0.234568,0.170455,0.229885,-0.125129,-54.864253
