m.date_p,m.os_type,code,m.is_new,country,duration,sub_suc_cnt,paid_cnt,trial_cnt,dismiss_cnt,new_gmv,renew_gmv,after_paid_gmv
20260719,iOS,实验组B,New,澳大利亚,月,1,1,0,0,8.88,0,0
20260719,iOS,对照组,Old,澳大利亚,年,4,2,4,1,79.97,0,0
20260724,iOS,实验组B,New,巴西,月,1,1,0,0,3.24,0,0
20260725,iOS,实验组A,Old,其他,年,9,3,6,3,67.08,0,0
20260726,iOS,实验组A,Old,英国,月,13,13,0,3,131.22,0,0
20260717,iOS,实验组A,Old,澳大利亚,年,2,1,1,1,39.99,0,0
20260717,iOS,实验组B,New,其他,年,1,0,1,1,0.0,0,0
20260717,iOS,对照组,Old,英国,月,3,3,0,0,28.61,0,0
20260718,iOS,实验组B,Old,其他,年,3,2,2,1,66.84,0,0
20260719,iOS,实验组B,Old,巴西,分期年卡,35,35,0,0,54.39,0,0
20260720,iOS,实验组A,Old,巴西,分期年卡,9,9,0,0,14.05,0,0
20260720,iOS,实验组B,Old,巴西,月,19,19,0,7,58.47,0,0
20260722,iOS,实验组A,New,巴西,月,2,2,0,1,6.47,0,0
20260723,iOS,实验组A,New,其他,年,3,2,1,1,54.36,0,0
20260725,iOS,实验组A,Old,英国,月,11,11,0,2,107.12,0,0
20260725,iOS,对照组,Old,其他,年,8,3,5,3,81.59,0,0
20260726,iOS,实验组A,Old,英国,年,18,1,17,7,27.19,0,0
20260726,iOS,实验组B,New,其他,年,2,0,2,2,0.0,0,0
20260726,iOS,对照组,Old,英国,月,14,14,0,5,139.37,0,0
20260717,iOS,对照组,Old,澳大利亚,年,1,0,1,1,0.0,0,0
20260718,iOS,实验组A,Old,澳大利亚,分期年卡,1,1,0,0,4.44,0,0
20260718,iOS,实验组B,Old,澳大利亚,月,2,2,0,0,17.76,0,0
20260720,iOS,对照组,Old,巴西,分期年卡,1,1,0,0,1.56,0,0
20260721,iOS,实验组A,Old,巴西,月,8,8,0,1,27.78,0,0
20260722,iOS,实验组A,New,巴西,年,11,3,8,7,23.71,0,0
20260723,iOS,对照组,New,其他,年,2,0,2,0,0.0,0,0
20260725,iOS,实验组A,Old,澳大利亚,年,9,2,7,5,79.99,0,0
20260725,iOS,对照组,Old,英国,月,10,10,0,4,100.96,0,0
20260726,iOS,实验组B,New,英国,月,1,1,0,0,8.15,0,0
20260726,iOS,对照组,Old,英国,年,37,8,29,13,241.63,0,0
20260717,iOS,实验组B,Old,巴西,分期年卡,4,4,0,0,6.22,0,0
20260721,iOS,对照组,Old,巴西,月,15,15,0,4,48.39,0,0
20260722,iOS,对照组,New,巴西,年,8,2,6,2,14.79,0,0
20260723,iOS,实验组A,New,澳大利亚,年,2,0,2,0,0.0,0,0
20260723,iOS,实验组A,Old,巴西,分期年卡,10,10,0,1,15.62,0,1.56
