日期,平台,国家,订阅类型,订阅毛利（剔除退款，$）,新增毛利,续订毛利
2025-07-01,整体,智利,整体,9157.354000000001,3496.582,5925.604999999999
2025-07-01,整体,未知,整体,334.947,25.017,309.93
2025-07-01,整体,柬埔寨,整体,158.41000000000003,62.803999999999995,95.60600000000001
2025-07-01,整体,根西岛,整体,0.0,,
2025-07-01,整体,格林纳达,整体,43.553000000000004,0.0,43.553000000000004
2025-07-01,整体,格陵兰,整体,0.0,,
2025-07-01,整体,格鲁吉亚,整体,2378.36,980.8309999999998,1546.4329999999998
2025-07-01,整体,比利时,整体,10051.987,4329.213,6109.714000000001
2025-07-01,整体,毛里塔尼亚,整体,11.9,11.9,0.0
2025-07-01,整体,毛里求斯,整体,158.79199999999997,93.31599999999999,65.47600000000001
2025-07-01,整体,汤加,整体,0.0,,
2025-07-01,整体,沙特阿拉伯,整体,4423.587,2600.512,2098.7390000000005
2025-07-01,整体,法国,整体,21177.684,10472.721000000001,12320.275000000001
2025-07-01,整体,法属圣马丁,整体,0.0,,
2025-07-01,整体,法属圭亚那,整体,12.232,,
2025-07-01,整体,法属波利尼西亚,整体,4.077,,
2025-07-01,整体,法罗群岛,整体,0.0,,
2025-07-01,整体,波兰,整体,16509.122,7421.328999999999,10180.747000000001
2025-07-01,整体,波多黎各,整体,479.54100000000017,240.59599999999998,238.945
2025-07-01,整体,波黑,整体,2387.574,1279.489,1267.424
2025-07-01,整体,泰国,整体,1825.101,784.1460000000001,1121.618
2025-07-01,整体,泽西岛,整体,0.0,,
2025-07-01,整体,津巴布韦,整体,78.884,51.098,27.786
2025-07-01,整体,洪都拉斯,整体,1434.4799999999998,721.6290000000001,822.1429999999999
2025-07-01,整体,海地,整体,12.488,2.363,10.125
