enter_abtest_date,active_date,abcode,lcx,week_day,control_active0,control_activex,retention_rate
20260504,20260514,28907,10,4,9346,333,0.0356
20260504,20260515,28907,11,5,9346,364,0.0389
20260504,20260516,28907,12,6,9346,358,0.0383
20260504,20260517,28907,13,7,9346,415,0.0444
20260504,20260518,28907,14,1,9346,400,0.0428
20260505,20260506,28907,1,3,7271,957,0.1316
20260505,20260507,28907,2,4,7271,638,0.0877
20260505,20260508,28907,3,5,7271,501,0.0689
20260505,20260509,28907,4,6,7271,452,0.0622
20260505,20260510,28907,5,7,7271,499,0.0686
20260505,20260511,28907,6,1,7271,465,0.064
20260505,20260512,28907,7,2,7271,364,0.0501
20260505,20260513,28907,8,3,7271,300,0.0413
20260505,20260514,28907,9,4,7271,302,0.0415
20260505,20260515,28907,10,5,7271,323,0.0444
20260505,20260516,28907,11,6,7271,291,0.04
20260505,20260517,28907,12,7,7271,289,0.0397
20260505,20260518,28907,13,1,7271,325,0.0447
20260506,20260507,28907,1,4,7344,998,0.1359
20260506,20260508,28907,2,5,7344,647,0.0881
20260506,20260509,28907,3,6,7344,551,0.075
20260506,20260510,28907,4,7,7344,534,0.0727
20260506,20260511,28907,5,1,7344,522,0.0711
20260506,20260512,28907,6,2,7344,365,0.0497
20260506,20260513,28907,7,3,7344,362,0.0493
20260506,20260514,28907,8,4,7344,305,0.0415
20260506,20260515,28907,9,5,7344,341,0.0464
20260506,20260516,28907,10,6,7344,317,0.0432
20260506,20260517,28907,11,7,7344,355,0.0483
20260506,20260518,28907,12,1,7344,313,0.0426
20260507,20260508,28907,1,5,7085,950,0.1341
20260507,20260509,28907,2,6,7085,617,0.0871
20260507,20260510,28907,3,7,7085,605,0.0854
20260507,20260511,28907,4,1,7085,493,0.0696
20260507,20260512,28907,5,2,7085,375,0.0529
20260507,20260513,28907,6,3,7085,364,0.0514
20260507,20260514,28907,7,4,7085,349,0.0493
20260507,20260515,28907,8,5,7085,361,0.051
20260507,20260516,28907,9,6,7085,306,0.0432
20260507,20260517,28907,10,7,7085,323,0.0456
20260507,20260518,28907,11,1,7085,345,0.0487
20260508,20260509,28907,1,6,7371,977,0.1325
20260508,20260510,28907,2,7,7371,715,0.097
20260508,20260511,28907,3,1,7371,606,0.0822
20260508,20260512,28907,4,2,7371,466,0.0632
20260508,20260513,28907,5,3,7371,401,0.0544
20260508,20260514,28907,6,4,7371,381,0.0517
20260508,20260515,28907,7,5,7371,386,0.0524
20260508,20260516,28907,8,6,7371,333,0.0452
20260508,20260517,28907,9,7,7371,359,0.0487
20260508,20260518,28907,10,1,7371,350,0.0475
20260509,20260510,28907,1,7,8459,1231,0.1455
20260509,20260511,28907,2,1,8459,787,0.093
20260509,20260512,28907,3,2,8459,522,0.0617
20260509,20260513,28907,4,3,8459,479,0.0566
20260509,20260514,28907,5,4,8459,456,0.0539
